id,name,type,class,rare,power,hp,atk,def,sp,spd,maxpower,maxhp,maxatk,maxsp,maxdef,maxspd,skillname,skill,skillimg
20001,"Keiko Yukimura, Goddess of Victory",red,ATK,5,1012,500,400,250,100,121,14327,7140,5712,1428,3572,450,ATK up,Increases ATK of equipped unit by 80%<br><hz>Duration:</hz> 3 turns <hz>Condition:</hz> after defeating an enemy <hz>Chance:</hz> 80%,ATKup
20002,"Botan, Spiritual Guide",light,SP,5,1011,400,100,175,525,111,14317,5712,1428,7496,2496,412,SP up,Increases SP of equipped column by 24%<br><hz>Duration:</hz> 3 turns <hz>Condition:</hz> start of the WAVE <hz>Chance:</hz> 100%,SPup
20013,"Great King Enma, Spirit World Ruler",dark,ATK,5,1011,500,400,250,100,111,14323,7140,5712,1428,3572,412,ATK up,Increases ATK of equipped column by 24%<br><hz>Duration:</hz> 3 turns <hz>Condition:</hz> start of the WAVE <hz>Chance:</hz> 100%,ATKup
20016,"Yukina, Dearly Prayer",blue,DEF,5,1011,550,200,325,200,119,14324,7856,2856,2856,4640,444,Heal,Heals equipped unit's HP by 43%<br><hz>Duration:</hz> instant <hz>Condition:</hz> when HP is under 30% <hz>Chance:</hz> 100%/1 time,HEAL
20019,"Sakyo, A Game of Aesthetics",dark,SP,5,1012,500,100,250,400,126,14328,7140,1428,5712,3572,468,Defense Down,Decreases DEF of front enemy column by 43%<br><hz>Duration:</hz> 3 turns <hz>Condition:</hz> after a weakening effect <hz>Chance:</hz> 80%,DEFdown
20020,"Koto, Fiery Commentary",blue,SP,5,1005,495,102,252,392,117,14217,7068,1452,3596,5592,434,SP Damage Resistance Down,80% chance to reduce enemy's front column's SP damage resistance by 33%<br><hz>Duration:</hz> 3 turns <hz>Condition:</hz> after a strengthening effect <hz>Chance:</hz> 80%,SPDMGresistdown
20021,"Juri, Sincere Referee",green,ATK,5,1016,500,400,252,102,120,14374,7140,5712,3596,1452,446,ATK Damage Resistance Down,80% chance to reduce enemy's front column's ATK damage resistance by 33%<br><hz>Duration:</hz> 3 turns <hz>Condition:</hz> after a strengthening effect <hz>Chance:</hz> 80%,ATKDMGresistdown
20022,"Ruka, Barrier Practitioner",dark,ATK,5,1011,492,522,177,100,118,14319,5736,7452,2528,1428,438,SP Damage Resistance Up,Increases resistance of equipped unit against SP damage taken by 43%<br><hz>Duration:</hz> 2 turns <hz>Condition:</hz> at the start of the WAVE <hz>Chance:</hz> 100%,SPDMGresist
20024,"Koenma (Youth), Spirit World Royalty",green,DEF,5,1012,550,100,325,300,120,14324,7856,1428,4284,4640,446,Ressurection,Revives equipped unit with 29% HP<br><hz>Duration:</hz> instant <hz>Condition:</hz> upon death <hz>Chance:</hz> 100%/1 time,REVIVE
20041,"Keiko Yukimura, Promise of Victory",light,SP,5,1066,599,100,249,406,120,15096,8552,1428,5796,3552,446,SP & DEF Up,Increases SP of equipped unit by 39% and DEF of all allies by 24%<br><hz>Duration:</hz> 3 turns <hz>Condition:</hz> at the start of the WAVE <hz>Chance:</hz> 100%,SPup
